"SupHU3","SupHU4","SupCI","SupCI2","SupCII","SupCIII","SupCIII2"
0.234840322321953,0.551524586957885,0.11603728052535,0.629567006209367,0.852398269060279,0.993449864660787,0.883356486226437
0.495630845573931,0.499610264237014,0.10867752216271,0.602764162506462,0.896822228968182,0.964666270832838,0.960496898728271
0.356809975545327,0.53913069632135,0.0685824335720922,0.650280238889213,0.877572317656366,0.947051331325519,0.920685324237901
0.471929627446298,0.428326862988368,0.0987744538426799,0.601001975383004,0.913239598284606,0.987345229709105,0.898994479170848
0.488955078477144,0.473753958901316,0.10517013344127,0.607798302847696,0.915361867466045,0.963525607988875,0.94380857690251
0.348395818298874,0.439544748222742,0.0616564129677052,0.595229387085652,0.814441182573055,0.965324757351807,0.970887444883745
0.419617997806314,0.539667319853343,0.133395173193393,0.543507262689769,0.972689292041263,0.926695550339849,0.961852138431745
0.481453809183405,0.585033879004974,0.0838170125103558,0.596042107249667,0.794687876433951,0.98527991455308,0.927343444856269
0.420493669298764,0.645963008144002,0.123997937974172,0.591725423051063,0.879042306002508,0.979277805963238,0.974954173887829
0.422319661293737,0.499222916548086,0.101561930964534,0.57794725589055,0.847124579534489,0.988755080653034,0.875858102677469
0.37867098575157,0.590309873636156,0.0752016840973132,0.604742163886083,0.930725585032273,0.971472810893632,0.902536539122595
0.380407549643329,0.540134194778761,0.112352340131462,0.562440917934168,0.928753785090804,0.915381017802927,0.92916987711013
0.421081429661521,0.458623543525874,0.091320569012449,0.612298833910314,0.962882462847736,0.989155301228921,0.964857033712061
0.421578540037039,0.4302546983488,0.0875087035050217,0.630167318670366,0.829735601507092,0.964363843282323,0.955099674495308
0.355549056683036,0.480962801645306,0.107769978670212,0.588671040552365,0.804452367456583,0.91174056966406,0.924340713670892
0.521483977323332,0.475960412565254,0.093031382725813,0.609950687129438,0.721701943949953,0.992117393845063,0.988099523306001
0.75147325637189,0.576026479144319,0.0961986982133013,0.622483442053873,0.965059467425702,0.940788139615388,0.988752617177342
0.399077999311218,0.569323782361077,0.113747707667978,0.619774409992192,0.910618621440366,0.980712720150706,0.90928821377098
0.447680970331152,0.602959886196342,0.0646180958225617,0.586278686493594,0.905636389010836,0.985514213567979,0.920719028892391
0.297827128093652,0.577706615889676,0.11451050942031,0.606141855134498,0.838195487046595,0.916587320337884,0.965765411967151
0.548658031596203,0.556581484447052,0.116367945772629,0.604751105225323,0.906419758045655,0.864072507334797,0.912094211760316
0.320115363425553,0.544554804998718,0.0948512924551747,0.5656063822715,0.807321098844035,0.951250046684036,0.911161173913229
0.502878595742001,0.434574210544466,0.0791871869313295,0.560689283791032,0.903632139746969,0.986688442236261,0.93879835738531
0.401921428295072,0.540963046532033,0.0702691880056904,0.585497280021386,0.715895462369667,0.836470271285597,0.941812723123365
