"lambda","repro_rate","generation_time","damping_ratio","growth"
1.00783814759119,1.18391905794994,21.6238551033924,1.28790860531091,"Growing"
1.03380282018957,2.43829555997057,26.8107808442642,1.32880885358424,"Growing"
0.995142117452409,0.887332602302749,24.5466643780434,1.27294821940237,"Declining"
1.01469710947455,1.36801122998159,21.4773631427959,1.30659284058717,"Growing"
1.03045632637128,2.08284068665654,24.4563378774049,1.32497556961374,"Growing"
0.992875624776925,0.759370759522187,38.4992948095618,1.27046358971734,"Declining"
1.04505862763664,3.14102577574871,25.9694091254023,1.33279769420107,"Growing"
0.991589774038022,0.802501278276946,26.0510612997536,1.29295102487874,"Declining"
1.05059624662361,4.10988365884762,28.6356582155233,1.32950317633064,"Growing"
0.988812888305866,0.787000938219653,21.2908864788071,1.28898998852852,"Declining"
1.01307905466798,1.33833183188811,22.4271242673839,1.27999797844517,"Growing"
1.01169391215503,1.31518537860611,23.5658054798342,1.30161078660937,"Growing"
1.04975568276389,3.77707984519855,27.368633928168,1.30882976335935,"Growing"
1.00242656062368,1.07460545537539,29.6884569215363,1.29717383990269,"Growing"
0.972493701512984,0.486549714664149,25.8290713031839,1.28890273157413,"Declining"
1.00141495497138,1.06372180793161,43.6887377528716,1.22114235543741,"Growing"
1.06189109086455,5.46913795987458,28.2944603335101,1.41566457805626,"Growing"
1.03425214233022,2.06756670263668,21.5677747454332,1.31741522940922,"Growing"
1.00911809960728,1.2490181349263,24.4974245350821,1.27189311822536,"Growing"
1.01028573994389,1.37367355834112,31.025341890942,1.30805582888808,"Growing"
0.994463847477499,0.893113864158494,20.3621562343312,1.37038364017198,"Declining"
0.974685542207156,0.528324423289296,24.884370882522,1.27068286705082,"Declining"
1.00999512678501,1.29729658446852,26.1708707478307,1.27886952998379,"Growing"
0.947598323342987,0.115078204871596,40.1701879870772,1.22293059391374,"Declining"
1.03736025886194,3.06742980457067,30.5578572773919,1.32230309365081,"Growing"
0.974227709731728,0.458716995706711,29.8473927858417,1.27381964147958,"Declining"
0.992925587073356,0.787652506769854,33.6215804732943,1.29799861432474,"Declining"
1.03070673378885,1.85216035309872,20.3788559614277,1.34768566945607,"Growing"
1.02340035618499,1.72595138963165,23.5953466531888,1.31586391339008,"Growing"
1.0067816389744,1.34636546036016,44.0035269687554,1.32481511698292,"Growing"
1.01065327432002,1.51775985831065,39.3732475594236,1.30162920986541,"Growing"
1.01476961772568,1.62691907891554,33.1947255336998,1.30510327442961,"Growing"
1.05902891980203,6.0886779250519,31.4970561144621,1.31594120059147,"Growing"
1.01240888174818,1.56587232606115,36.3626388200248,1.29384776607709,"Growing"
